s_merge_id,classroom_id,student_id,friend_1,friend_2,friend_3,support_1,support_2,support_3,el
112549_160,1125491,1125491160,1125491115,1125491181,1125491119,1125491115,1125491181,1125491119,yes
112551_151,1125511,1125511151,1125511132,1125511143,1125511129,1125511132,1125511148,,yes
112557_103,1125571,1125571103,1125571159,1125571157,1125571128,1125571111,1125571150,1125571134,yes
112582_170,1125821,1125821170,1125821160,1125821151,1125821177,1125821166,1125821162,,yes
112597_102,1125971,1125971102,1125971148,1125971101,1125971115,1125971114,1125971148,1125971145,yes
112611_107,1126111,1126111107,1126111140,1126111132,1126111136,1126111140,1126111132,1126111161,yes
112620_138,1126201,1126201138,,,,,,,yes
112624_198,1126241,1126241198,1126241115,1126241117,1126241119,1126241117,,,yes
112663_178,1126631,1126631178,1126631130,1126631121,1126631132,1126631130,1126631166,1126631172,yes
112666_371,1126663,1126663371,1126663112,1126663171,1126663352,1126663112,1126663171,1126663337,yes
112670_150,1126701,1126701150,1126701137,1126701122,1126701101,1126701137,1126701122,1126701101,yes
112671_439,1126714,1126714439,1126714258,1126714128,1126714474,1126714128,1126714258,1126714453,yes
112680_130,1126801,1126801130,1126801128,1126801168,1126801146,1126801128,1126801159,1126801103,yes
112695_208,1126951,1126951208,1126951196,1126951198,1126951201,1126951196,1126951201,1126951181,yes
112723_256,1127231,1127231256,1127231291,1127231208,1127231165,1127231229,1127231291,1127231165,yes
112723_192,1127234,1127234192,1127234269,1127234391,,1127234269,1127234391,,yes
112729_162,1127291,1127291162,1127291165,1127291179,1127291172,1127291150,1127291172,1127291105,yes
112731_119,1127311,1127311119,1127311129,1127311113,,1127311113,1127311129,,yes
112731_145,1127311,1127311145,1127311151,1127311147,1127311157,1127311150,1127311147,1127311153,yes
112735_126,1127351,1127351126,1127351122,1127351139,1127351164,1127351122,1127351139,1127351164,yes
112739_195,1127392,1127392195,1127392173,1127392175,1127392169,1127392169,1127392173,1127392164,yes
112739_187,1127392,1127392187,1127392176,1127392201,1127392185,1127392176,1127392184,1127392201,yes
112747_119,1127471,1127471119,1127471110,1127471108,1127471112,1127471146,1127471102,1127471103,yes
112764_721,1127642,1127642721,1127642164,1127642121,1127642199,1127642164,1127642121,1127642199,yes
112773_149,1127731,1127731149,1127731175,1127731154,1127731102,1127731150,1127731138,1127731135,yes
112779_715,1127791,1127791715,1127791116,1127791101,1127791703,1127791108,1127791116,1127791112,yes
112784_130,1127841,1127841130,1127841163,1127841126,1127841112,1127841163,1127841126,1127841112,yes
112792_116,1127921,1127921116,1127921169,1127921172,,1127921171,1127921160,1127921178,yes
112800_188,1128001,1128001188,1128001101,1128001154,1128001174,1128001154,1128001180,1128001165,yes
112819_138,1128191,1128191138,1128191145,1128191162,1128191132,1128191145,1128191146,1128191123,yes
112825_134,1128251,1128251134,1128251168,1128251102,1128251158,1128251169,1128251158,1128251157,yes
112830_167,1128301,1128301167,,,,1128301179,1128301148,1128301168,yes
112835_146,1128352,1128352146,1128352120,1128352103,1128352175,1128352168,1128352120,1128352105,yes
112835_148,1128351,1128351148,1128351189,1128351182,1128351152,1128351189,1128351182,1128351152,yes
112839_146,1128391,1128391146,1128391114,1128391147,1128391140,1128391114,1128391148,1128391139,yes
112839_188,1128391,1128391188,,,,,,,yes
112843_145,1128431,1128431145,1128431161,,,1128431174,1128431161,,yes
112844_146,1128441,1128441146,1128441110,1128441178,1128441201,1128441157,1128441110,1128441178,yes
112858_195,1128581,1128581195,1128581290,1128581230,1128581308,1128581290,1128581308,1128581242,yes
112858_287,1128584,1128584287,1128584234,,1128584189,1128584175,1128584283,1128584264,yes
134119_101,1341191,1341191101,1341191171,1341191170,1341191167,1341191171,1341191170,1341191167,yes
137021_152,1370211,1370211152,1370211102,,,1370211102,1370211151,,yes
112666_278,1126663,1126663278,1126663254,1126663109,1126663177,1126663254,1126663109,1126663177,yes
112772_139,1127721,1127721139,1127721168,1127721185,1127721122,1127721107,1127721120,1127721189,yes
112726_214,1127261,1127261214,,,,,,,yes
112695_187,1126951,1126951187,1126951122,1126951160,1126951191,1126951192,1126951118,,yes
112666_285,1126663,1126663285,1126663197,1126663171,1126663371,1126663337,1126663197,1126663304,yes
112726_227,1127261,1127261227,1127261223,1127261149,1127261160,1127261223,1127261160,1127261149,yes
112594_179,1125941,1125941179,1125941108,1125941101,1125941156,1125941118,1125941108,1125941156,yes
112790_125,1127901,1127901125,1127901214,1127901225,1127901227,1127901225,1127901214,,yes
112671_487,1126712,1126712487,1126712331,1126712259,1126712223,1126712377,1126712259,1126712223,yes
112835_130,1128351,1128351130,1128351179,1128351162,,1128351179,,,yes
112735_109,1127351,1127351109,1127351141,1127351118,1127351136,1127351124,1127351141,1127351111,yes
112723_430,1127233,1127233430,1127233297,1127233361,1127233426,1127233297,1127233361,,yes
112785_119,1127851,1127851119,1127851137,1127851105,,1127851137,1127851129,1127851128,yes
112671_315,1126711,1126711315,1126711279,1126711174,1126711388,1126711279,1126711174,1126711230,yes
112606_157,1126061,1126061157,1126061164,1126061152,1126061116,1126061148,1126061138,1126061137,yes
112540_252,1125401,1125401252,1125401105,1125401115,1125401124,1125401124,1125401105,1125401115,yes
112611_111,1126111,1126111111,1126111141,1126111117,1126111130,1126111162,1126111114,1126111117,yes
112787_134,1127871,1127871134,1127871155,1127871121,1127871105,1127871103,1127871155,1127871131,yes
112795_166,1127951,1127951166,1127951132,1127951124,1127951117,1127951132,1127951153,1127951117,yes
112765_229,1127651,1127651229,1127651177,1127651185,1127651200,1127651121,1127651108,1127651106,yes
112729_152,1127291,1127291152,1127291166,1127291153,1127291172,1127291153,1127291166,1127291110,yes
112671_443,1126711,1126711443,1126711284,1126711420,1126711399,1126711328,1126711420,1126711381,yes
112682_131,1126821,1126821131,1126821185,1126821119,1126821106,1126821190,1126821185,1126821120,yes
134399_110,1343991,1343991110,1343991172,1343991146,1343991101,1343991101,1343991179,1343991161,yes
112671_436,1126712,1126712436,1126712236,1126712119,1126712143,1126712119,1126712147,1126712385,yes
112595_114,1125952,1125952114,1125952191,1125952172,1125952175,1125952191,1125952172,1125952175,yes
112795_135,1127951,1127951135,1127951152,1127951156,1127951147,1127951146,,,yes
112785_228,1127852,1127852228,1127852226,1127852208,,1127852226,1127852198,1127852201,yes
112661_148,1126611,1126611148,1126611101,1126611123,1126611106,1126611103,1126611144,1126611139,yes
112667_177,1126671,1126671177,1126671209,1126671179,1126671145,1126671145,1126671209,1126671179,yes
112839_170,1128391,1128391170,1128391150,1128391161,1128391165,1128391150,1128391178,1128391165,yes
134971_155,1349711,1349711155,1349711129,,,1349711159,1349711153,,yes
112722_225,1127221,1127221225,1127221144,1127221163,1127221183,1127221196,1127221204,1127221121,yes
112682_184,1126821,1126821184,1126821203,1126821202,1126821196,1126821196,1126821207,1126821143,yes
112790_183,1127901,1127901183,1127901208,1127901117,1127901156,1127901117,1127901208,1127901156,yes
112738_121,1127381,1127381121,1127381111,1127381128,1127381127,1127381127,1127381111,1127381107,yes
112682_127,1126821,1126821127,1126821109,1126821206,1126821130,1126821109,1126821206,1126821130,yes
112666_389,1126664,1126664389,1126664360,1126664344,1126664114,1126664368,1126664114,1126664344,yes
112540_296,1125402,1125402296,1125402137,1125402209,1125402278,1125402137,1125402226,1125402209,yes
112826_127,1128261,1128261127,1128261115,1128261129,1128261133,1128261145,1128261115,1128261110,yes
112540_332,1125403,1125403332,1125403326,1125403235,1125403318,1125403326,1125403235,1125403318,yes
112671_437,1126712,1126712437,1126712334,1126712316,1126712341,1126712334,1126712300,1126712316,yes
112666_152,1126661,1126661152,1126661279,1126661267,1126661326,1126661214,1126661267,1126661326,yes
112677_106,1126771,1126771106,1126771105,1126771118,1126771113,1126771113,1126771105,1126771118,yes
112819_101,1128191,1128191101,1128191103,1128191105,1128191104,1128191103,1128191105,1128191109,yes
112773_128,1127731,1127731128,1127731173,1127731101,1127731178,1127731130,1127731162,1127731178,yes
112666_215,1126662,1126662215,1126662328,1126662101,1126662275,1126662328,1126662101,1126662275,yes
112776_147,1127762,1127762147,1127762111,1127762140,1127762107,1127762111,1127762140,1127762107,yes
112666_344,1126661,1126661344,1126661114,1126661295,1126661195,1126661114,1126661295,1126661195,yes
112800_192,1128001,1128001192,1128001111,1128001178,1128001184,1128001178,1128001111,1128001184,yes
112677_113,1126771,1126771113,1126771105,1126771106,1126771118,1126771106,1126771127,1126771105,yes
112671_340,1126714,1126714340,1126714377,1126714429,1126714419,1126714429,1126714377,1126714400,yes
112671_376,1126714,1126714376,1126714265,1126714253,,1126714265,1126714253,,yes
112671_415,1126713,1126713415,1126713372,1126713344,1126713156,1126713324,1126713372,1126713309,yes
112557_172,1125571,1125571172,1125571123,1125571159,1125571111,1125571159,1125571123,1125571111,yes
112884_163,1128841,1128841163,1128841144,,,1128841144,,,yes
112731_136,1127311,1127311136,1127311132,1127311137,,1127311132,1127311130,1127311137,yes
112606_154,1126061,1126061154,1126061176,1126061162,1126061141,1126061156,1126061120,1126061168,yes
112538_113,1125381,1125381113,1125381116,1125381115,1125381127,1125381122,1125381144,1125381140,yes
112558_133,1125581,1125581133,1125581126,1125581138,1125581139,1125581139,1125581142,1125581150,yes
112789_206,1127892,1127892206,1127892135,1127892161,1127892125,1127892119,1127892161,1127892133,yes
112792_182,1127921,1127921182,1127921126,1127921155,1127921173,1127921110,1127921126,1127921155,yes
112825_136,1128251,1128251136,1128251151,1128251146,1128251132,1128251151,1128251146,1128251132,yes
112826_161,1128261,1128261161,1128261166,1128261167,1128261123,1128261123,1128261166,1128261101,yes
112671_425,1126714,1126714425,1126714433,1126714374,1126714501,1126714485,1126714433,1126714294,yes
112785_705,1127851,1127851705,1127851207,1127851227,1127851197,1127851214,1127851226,1127851197,yes
112794_126,1127941,1127941126,1127941157,1127941150,1127941161,1127941145,1127941144,1127941157,yes
112722_184,1127221,1127221184,1127221180,1127221178,1127221176,1127221136,1127221169,1127221172,yes
112623_159,1126231,1126231159,1126231112,1126231117,1126231162,1126231112,1126231157,1126231117,yes
112561_102,1125611,1125611102,1125611142,1125611141,1125611105,1125611142,1125611105,1125611128,yes
112540_337,1125403,1125403337,1125403345,1125403169,1125403356,1125403345,1125403169,1125403356,yes
112623_161,1126231,1126231161,1126231136,1126231109,1126231160,1126231125,1126231136,1126231104,yes
112785_165,1127851,1127851165,1127851142,1127851144,1127851166,1127851142,1127851144,,yes
112830_108,1128301,1128301108,1128301142,1128301163,1128301159,1128301159,1128301142,,yes
112621_108,1126211,1126211108,,,,,,,yes
112560_106,1125601,1125601106,1125601119,1125601107,,1125601102,1125601104,1125601119,yes
112665_702,1126651,1126651702,1126651115,1126651106,1126651124,1126651144,1126651124,1126651107,yes
112884_146,1128841,1128841146,1128841164,1128841142,1128841138,1128841164,1128841138,1128841134,yes
112732_124,1127321,1127321124,1127321146,1127321138,1127321117,1127321134,1127321152,1127321121,yes
112675_150,1126751,1126751150,1126751154,1126751170,1126751208,1126751242,1126751170,1126751154,yes
112819_147,1128191,1128191147,1128191141,1128191162,1128191135,1128191141,1128191162,1128191135,yes
112662_137,1126621,1126621137,1126621130,1126621150,1126621112,1126621130,1126621150,,yes
112781_178,1127811,1127811178,1127811190,1127811193,1127811152,1127811190,1127811193,1127811152,yes
112597_149,1125971,1125971149,1125971138,1125971114,1125971102,1125971138,1125971114,1125971102,yes
112789_187,1127891,1127891187,1127891118,1127891207,1127891176,1127891118,1127891207,1127891176,yes
112695_179,1126951,1126951179,1126951156,1126951117,,1126951156,,,yes
112680_138,1126801,1126801138,1126801166,,1126801155,1126801166,,1126801146,yes
112675_123,1126751,1126751123,1126751147,1126751256,,1126751147,1126751256,1126751297,yes
