fs_classroom,s_merge_id,treatment,subdistrict,bs_specialchild,es_phase2_cohort,el_cohort2_cmsize,el_religion,split_status,merge_status,fs_school_id,fl,classroom_id,fs_student_id,girls_school,girls_section,boys_section,bs_male,bs_male_share,bs_age,bs_working_mom,bs_working_dad,bs_siblings,bs_with_mom,bs_with_dad,high_eyes,bs_score_eye_sd,high_raven,bs_score_raven_sd,high_math,high_bangla,bs_parenting_dad_sd,bs_parenting_mom_sd,bt_raven_avg_sd,bt_compclass_avg_m_sd,bt_compclass_avg_b_sd,emot_1,emot_2,emot_3,academic_1,academic_2,academic_3
1125431,112543_140,control,Belabo Upazila,No,no,77,Muslim,No,No,112543,1,1125431,1125431248,no,0,0,no,.1948051948051948,12,no,yes,5,yes,yes,yes,.3239474262252297,no,-1.848855307431031,no,no,.9814001656859502,1.664697316403948,2.814934141700144,.4142764573568108,.119055531298131,1125431256,1125431205,1125431232,1125431232,1125431229,1125431256
1125432,112543_169,control,Belabo Upazila,No,no,77,Muslim,No,No,112543,1,1125431,1125432250,no,0,0,no,.1948051948051948,12,no,yes,2,no,yes,no,-.1678636663167099,no,-.9767865898904095,no,no,.1958762446447604,.0349528836827207,2.814934141700144,.4142764573568108,.119055531298131,1125432234,1125432242,,1125432242,1125432234,
1125441,112544_106,treatment,Belabo Upazila,No,yes,76,Muslim,No,No,112544,1,1125441,1125441239,no,0,0,no,.618421052631579,12,no,,2,yes,yes,no,-.1678636663167099,no,-.104717872349788,no,no,.1958762446447604,.0349528836827207,1.754516535471236,.5212517420109287,.3691457670623649,1125441244,1125441212,1125441261,1125441229,1125441244,1125441212
1125452,112545_152,treatment,Belabo Upazila,No,yes,110,Muslim,Yes,No,112545,1,1125451,1125452242,no,0,0,yes,.3272727272727273,12,no,,2,yes,yes,no,-.1678636663167099,no,-.104717872349788,no,no,.1958762446447604,.0349528836827207,1.419904575467613,.0389538273542288,.8904913114370949,1125452206,1125452219,1125452251,1125452207,1125452255,1125452228
1125492,112549_126,control,Belabo Upazila,No,no,97,Muslim,No,No,112549,1,1125491,1125492236,no,0,0,no,.5154639175257731,11,no,yes,4,yes,yes,no,-.6596747588586495,no,-.9767865898904095,no,no,1.374162126206546,.442388991863028,2.480322181696521,.0082728925171823,.119055531298131,1125492243,1125492234,1125492233,1125492218,1125492216,1125492214
1125511,112551_151,control,Belabo Upazila,No,no,86,Muslim,No,No,112551,1,1125511,1125511225,no,0,0,no,.5116279069767442,13,no,yes,2,yes,yes,no,-1.643296943942528,no,-1.848855307431031,yes,no,-1.375171597437619,.0349528836827207,3.149546101703767,-.8800285869791445,-.1521997773123651,1125511224,1125511221,1125511259,1125511255,1125511261,1125511224
1125571,112557_103,control,Belabo Upazila,No,no,65,Muslim,No,No,112557,1,1125571,1125571214,no,0,0,no,.5230769230769231,11,no,yes,2,yes,yes,yes,.3239474262252297,no,-.6860970173768689,yes,no,-1.375171597437619,-1.1873554408582,1.811098261689275,.8965743720135092,.119055531298131,1125571218,1125571217,,1125571217,1125571215,1125571218
1125611,112561_113,treatment,Belabo Upazila,No,yes,48,Muslim,No,No,112561,1,1125611,1125611209,yes,1,0,no,0,12,no,,2,yes,yes,no,-.1678636663167099,no,-.104717872349788,no,no,.1958762446447604,.0349528836827207,1.196829935465198,-.8112004772335616,.119055531298131,1125611224,1125611208,1125611210,1125611223,1125611217,1125611211
1125791,112579_111,control,Monohardi Upazila,No,no,21,Muslim,No,No,112579,1,1125791,1125791220,yes,1,0,no,0,13,no,yes,2,yes,yes,yes,.8157585187671692,yes,.7673508451908334,no,yes,.9814001656859502,1.257261208223642,1.811098261689275,.8965743720135092,.119055531298131,1125791225,1125791216,1125791215,1125791218,1125791225,1125791216
1125821,112582_170,treatment,Monohardi Upazila,No,no,72,Muslim,No,No,112582,1,1125821,1125821301,no,1,0,no,0,13,yes,yes,4,no,no,yes,.3239474262252297,no,-.3954074448633285,yes,no,-1.767933557958214,-.779919332677893,1.699560941688067,-2.656631545971798,1.757204752536602,1125821302,1125821300,1125821325,1125821321,1125821306,1125821308
1125881,112588_131,treatment,Monohardi Upazila,No,no,108,Muslim,No,No,112588,1,1125881,1125881210,no,0,0,no,.5648148148148148,10,no,yes,2,yes,yes,yes,1.307569611309109,no,-.3954074448633285,no,no,.9814001656859502,.8498251000433344,3.48415806170739,.8965743720135092,.9857689723976364,1125881255,1125881257,1125881206,1125881268,1125881267,1125881256
1125911,112591_121,control,Monohardi Upazila,No,yes,47,Muslim,No,No,112591,1,1125911,1125911205,no,0,0,yes,.2553191489361702,12,no,no,3,yes,yes,no,-.1678636663167099,no,-.6860970173768689,no,no,.1958762446447604,.8498251000433344,1.754516535471236,.5212517420109287,.119055531298131,1125911202,1125911225,1125911233,1125911241,1125911233,1125911225
1125951,112595_213,control,Monohardi Upazila,No,no,68,Muslim,Yes,No,112595,1,1125952,1125951266,no,0,0,no,.4705882352941176,11,no,yes,1,yes,yes,no,-.6596747588586495,no,-.9767865898904095,no,no,1.76692408672714,.442388991863028,2.145710221692898,-1.324179326727308,.9857689723976364,1125951230,1125951264,1125951237,1125951230,1125951264,1125951279
1125971,112597_102,treatment,Monohardi Upazila,No,no,58,Muslim,No,No,112597,1,1125971,1125971203,no,0,0,yes,.3620689655172414,11,yes,,1,yes,no,no,-.1678636663167099,yes,.1859717001637525,yes,yes,.1958762446447604,1.257261208223642,1.699560941688067,-.8800285869791445,.119055531298131,1125971227,1125971229,1125971238,1125971229,1125971205,1125971220
1125991,112599_125,control,Monohardi Upazila,No,no,37,Muslim,No,Yes,112599,1,1125991,1125991208,no,1,0,no,0,12,no,,2,yes,yes,no,-.1678636663167099,no,-.104717872349788,no,no,.1958762446447604,.0349528836827207,2.03417290169169,.8965743720135092,.119055531298131,1125991222,1125991237,1125991212,1125991235,1125991222,
1126061,112606_103,treatment,Monohardi Upazila,No,yes,83,Muslim,No,No,112606,1,1126061,1126061218,no,0,0,yes,.5421686746987952,12,no,,2,yes,yes,no,-.1678636663167099,no,-.104717872349788,no,no,.1958762446447604,.0349528836827207,1.977591175473651,.5212517420109287,.119055531298131,1126061253,1126061201,1126061240,1126061201,1126061253,1126061240
1126111,112611_107,control,Monohardi Upazila,No,yes,63,Muslim,No,Yes,112611,1,1126111,1126111205,no,0,0,yes,.5079365079365079,12,no,,1,yes,yes,yes,.3239474262252297,yes,1.058040417704374,yes,yes,-1.375171597437619,-.3724832244975866,2.758352415482105,.5212517420109287,.119055531298131,1126111217,1126111212,1126111226,1126111212,1126111226,1126111249
1126161,112616_155,treatment,Monohardi Upazila,No,no,65,Muslim,No,No,112616,1,1126161,1126161210,no,0,0,no,.5076923076923077,12,no,yes,4,yes,yes,no,-2.135108036484468,no,-1.26747616240395,no,no,-1.375171597437619,-.779919332677893,2.703396821698936,.8965743720135092,.119055531298131,1126161204,1126161211,1126161202,1126161204,1126161211,1126161222
1126201,112620_158,control,Monohardi Upazila,No,no,120,Muslim,No,No,112620,1,1126201,1126201209,no,0,0,no,.4833333333333333,13,no,yes,1,yes,yes,yes,.3239474262252297,no,-.9767865898904095,no,no,-.9824096369170248,-1.1873554408582,1.364948981684444,.8965743720135092,.119055531298131,1126201236,1126201223,1126201221,1126201236,1126201203,1126201211
1126202,112620_124,control,Monohardi Upazila,No,no,120,Muslim,No,No,112620,1,1126201,1126202226,no,0,0,yes,.4833333333333333,15,yes,no,1,yes,yes,no,-.6596747588586495,no,-.6860970173768689,no,no,-.5896476763964293,-2.002227657218814,1.364948981684444,.8965743720135092,.119055531298131,1126202216,1126202223,1126202207,1126202218,1126202230,1126202216
1126203,112620_138,control,Monohardi Upazila,No,no,120,Muslim,No,No,112620,1,1126201,1126203203,no,0,0,yes,.4833333333333333,12,no,yes,1,yes,yes,no,-.1678636663167099,no,-.9767865898904095,yes,yes,-.9824096369170248,.442388991863028,1.364948981684444,.8965743720135092,.119055531298131,1126203206,1126203205,1126203219,1126203211,1126203216,
1126211,112621_124,treatment,Monohardi Upazila,No,no,29,Muslim,No,No,112621,1,1126211,1126211229,no,0,0,no,.6206896551724138,12,no,yes,1,yes,yes,no,-1.151485851400589,yes,.1859717001637525,no,no,.5886382051653558,-.3724832244975866,2.145710221692898,-.4358778472309812,.119055531298131,1126211216,1126211227,,1126211214,1126211216,
1126221,112622_106,treatment,Monohardi Upazila,No,no,41,Muslim,No,No,112622,1,1126221,1126221232,yes,1,0,no,0,11,no,yes,2,yes,yes,yes,1.307569611309109,yes,.1859717001637525,no,yes,-.1968857158758349,-.779919332677893,3.261083421704974,-.8800285869791445,.9857689723976364,1126221238,1126221203,1126221228,1126221225,1126221216,
1126231,112623_169,treatment,Monohardi Upazila,No,no,106,Muslim,No,No,112623,1,1126231,1126231233,no,0,0,yes,.5283018867924528,11,no,yes,2,yes,yes,yes,1.307569611309109,yes,2.511488280272076,no,yes,.5886382051653558,.8498251000433344,2.703396821698936,-1.324179326727308,.119055531298131,1126231224,1126231216,1126231220,1126231256,1126231236,1126231254
1126241,112624_198,control,Monohardi Upazila,No,no,104,Muslim,No,No,112624,1,1126241,1126241267,no,0,0,no,.4423076923076923,12,no,yes,3,yes,yes,yes,.3239474262252297,yes,.7673508451908334,yes,no,.9814001656859502,1.257261208223642,1.030337021680821,-.4358778472309812,.119055531298131,1126241252,1126241230,,1126241269,1126241252,1126241212
1126611,112661_140,control,Narsingdi Sadar Upazila,No,no,48,Muslim,No,No,112661,1,1126611,1126611211,yes,1,0,no,0,12,no,yes,3,yes,yes,no,-2.135108036484468,no,-.3954074448633285,no,yes,.9814001656859502,2.072133424584256,2.03417290169169,-.8800285869791445,.9857689723976364,1126611223,1126611234,1126611218,1126611223,1126611231,1126611218
1126621,112662_108,treatment,Narsingdi Sadar Upazila,No,no,69,Non-muslim,No,No,112662,1,1126621,1126621249,no,0,0,no,.4202898550724637,12,yes,no,4,yes,no,no,-.1678636663167099,no,-1.55816573491749,no,no,-1.375171597437619,-.3724832244975866,2.257247541694106,.5212517420109287,.119055531298131,1126621203,1126621204,1126621225,1126621203,1126621245,1126621236
1126631,112663_178,control,Narsingdi Sadar Upazila,No,no,85,Muslim,No,No,112663,1,1126631,1126631211,no,0,0,yes,.611764705882353,14,no,yes,3,yes,yes,yes,.3239474262252297,yes,1.930109135244995,yes,yes,1.374162126206546,.8498251000433344,3.261083421704974,.0082728925171823,.119055531298131,,,,1126631209,,
1126661,112666_227,control,Narsingdi Sadar Upazila,No,yes,74,Muslim,Yes,No,112666,1,1126661,1126661253,no,0,1,yes,.7432432432432432,12,no,yes,1,yes,yes,yes,.8157585187671692,yes,.7673508451908334,no,no,-1.767933557958214,-1.1873554408582,2.200665815476067,-.8112004772335616,.119055531298131,1126661273,1126661271,1126661249,1126661273,1126661271,1126661249
1126662,112666_371,control,Narsingdi Sadar Upazila,No,yes,67,Non-muslim,Yes,No,112666,1,1126663,1126662205,no,0,1,yes,.8805970149253731,12,yes,yes,2,yes,yes,yes,.8157585187671692,yes,1.058040417704374,yes,yes,.1958762446447604,.442388991863028,.9737552954627826,.5212517420109287,.119055531298131,1126662227,1126662240,1126662234,1126662240,1126662216,1126662236
1126663,112666_188,control,Narsingdi Sadar Upazila,No,yes,67,Muslim,Yes,No,112666,1,1126664,1126663230,no,1,0,no,.1194029850746269,15,no,,3,yes,no,no,-1.643296943942528,no,-1.26747616240395,no,no,.1958762446447604,-.3724832244975866,2.646815095480898,.5212517420109287,.8904913114370949,1126663240,1126663236,1126663263,1126663240,1126663236,1126663246
1126664,112666_420,control,Narsingdi Sadar Upazila,No,yes,75,Muslim,Yes,No,112666,1,1126662,1126664262,no,1,0,no,.2133333333333333,12,no,yes,5,yes,yes,no,-.1678636663167099,no,-.9767865898904095,no,no,-.1968857158758349,.442388991863028,1.977591175473651,.0389538273542288,.8904913114370949,1126664226,1126664215,1126664235,1126664224,1126664259,1126664225
1126671,112667_189,control,Narsingdi Sadar Upazila,No,no,153,Muslim,No,No,112667,1,1126671,1126671280,no,0,0,no,.3660130718954248,12,no,yes,2,yes,yes,no,-.1678636663167099,yes,.1859717001637525,no,no,.9814001656859502,1.257261208223642,1.699560941688067,-.8800285869791445,.119055531298131,1126671233,,,1126671233,1126671255,1126671277
1126701,112670_150,treatment,Narsingdi Sadar Upazila,No,no,57,Non-muslim,No,No,112670,1,1126701,1126701226,no,1,0,no,0,13,no,yes,2,yes,yes,no,-1.151485851400589,yes,1.639419562731455,yes,yes,-.5896476763964293,-.779919332677893,3.595695381708597,-2.25062798113217,.8904913114370949,1126701244,1126701237,1126701239,1126701244,1126701237,1126701239
1126713,112671_105,treatment,Narsingdi Sadar Upazila,No,yes,109,Muslim,Yes,No,112671,1,1126713,1126713299,no,0,1,yes,1,11,no,yes,1,yes,yes,no,-.1678636663167099,no,-.9767865898904095,no,no,-.5896476763964293,-.3724832244975866,1.754516535471236,-.3670497374853982,-1.716236410436555,1126713254,1126713305,1126713235,1126713254,1126713305,1126713235
1126714,112671_439,treatment,Narsingdi Sadar Upazila,No,yes,72,Muslim,Yes,No,112671,1,1126714,1126714237,no,0,1,yes,1,12,no,yes,2,yes,yes,no,-.1678636663167099,no,-.104717872349788,yes,yes,.1958762446447604,.0349528836827207,2.089128495474859,-2.143652696478052,.119055531298131,1126714284,1126714272,1126714221,1126714272,1126714284,1126714274
