classroom_id,s_merge_id,bs_m_score,school_id,student_id,high_eyes,high_raven,bs_b_score,high_bangla,high_math,friend_1,friend_2,friend_3,support_1,support_2,support_3
1125431.0,112543_140,1.0,112543.0,1125431248.0,yes,no,12.0,no,no,1125431256.0,1125431205.0,1125431232.0,1125431232.0,1125431229.0,1125431256.0
1125432.0,112543_169,5.0,112543.0,1125432250.0,no,no,12.0,no,no,1125432234.0,1125432242.0,,1125432242.0,1125432234.0,
1125441.0,112544_106,,112544.0,1125441239.0,no,no,,no,no,1125441244.0,1125441212.0,1125441261.0,1125441229.0,1125441244.0,1125441212.0
1125451.0,112545_285,,,1125451.0,no,no,,no,no,,,,,,
1125452.0,112545_152,,112545.0,1125452242.0,no,no,,no,no,1125452206.0,1125452219.0,1125452251.0,1125452207.0,1125452255.0,1125452228.0
1125481.0,112548_117,,,1125481.0,no,no,,no,no,,,,,,
1125482.0,112548_131,,,1125482.0,no,no,,no,no,,,,,,
1125491.0,112549_160,11.0,,1125491.0,no,yes,23.0,yes,yes,,,,,,
1125492.0,112549_126,4.0,112549.0,1125492236.0,no,no,13.0,no,no,1125492243.0,1125492234.0,1125492233.0,1125492218.0,1125492216.0,1125492214.0
1125511.0,112551_151,6.0,112551.0,1125511225.0,no,no,14.0,no,yes,1125511224.0,1125511221.0,1125511259.0,1125511255.0,1125511261.0,1125511224.0
1125551.0,112555_122,2.0,,1125551.0,yes,yes,20.0,yes,no,,,,,,
1125571.0,112557_103,6.0,112557.0,1125571214.0,yes,no,16.0,no,yes,1125571218.0,1125571217.0,,1125571217.0,1125571215.0,1125571218.0
1125601.0,112560_133,6.0,,1125601.0,no,no,4.0,no,yes,,,,,,
1125611.0,112561_113,,112561.0,1125611209.0,no,no,,no,no,1125611224.0,1125611208.0,1125611210.0,1125611223.0,1125611217.0,1125611211.0
1125791.0,112579_111,5.0,112579.0,1125791220.0,yes,yes,19.0,yes,no,1125791225.0,1125791216.0,1125791215.0,1125791218.0,1125791225.0,1125791216.0
1125821.0,112582_170,7.0,112582.0,1125821301.0,yes,no,5.0,no,yes,1125821302.0,1125821300.0,1125821325.0,1125821321.0,1125821306.0,1125821308.0
1125841.0,112584_104,4.0,,1125841.0,no,yes,17.0,yes,no,,,,,,
1125881.0,112588_131,5.0,112588.0,1125881210.0,yes,no,7.0,no,no,1125881255.0,1125881257.0,1125881206.0,1125881268.0,1125881267.0,1125881256.0
1125882.0,112588_603,,112588.0,1125882212.0,no,no,,no,no,1125882208.0,1125882213.0,1125882207.0,1125882204.0,1125882201.0,1125882208.0
1125891.0,112589_149,5.0,,1125891.0,no,yes,18.0,yes,no,,,,,,
1125892.0,112589_179,4.0,112589.0,1125892210.0,no,no,11.0,no,no,1125892224.0,1125892212.0,1125892223.0,1125892213.0,1125892217.0,1125892223.0
1125911.0,112591_121,5.0,112591.0,1125911205.0,no,no,16.0,no,no,1125911202.0,1125911225.0,1125911233.0,1125911241.0,1125911233.0,1125911225.0
1125951.0,112595_213,5.0,112595.0,1125951266.0,no,no,15.0,no,no,1125951230.0,1125951264.0,1125951237.0,1125951230.0,1125951264.0,1125951279.0
1125952.0,112595_605,,,1125952.0,no,no,,no,no,,,,,,
1125971.0,112597_102,9.0,112597.0,1125971203.0,no,yes,22.0,yes,yes,1125971227.0,1125971229.0,1125971238.0,1125971229.0,1125971205.0,1125971220.0
1125991.0,112599_125,,112599.0,1125991208.0,no,no,,no,no,1125991222.0,1125991237.0,1125991212.0,1125991235.0,1125991222.0,
1126041.0,112604_130,,,1126041.0,no,no,,no,no,,,,,,
1126061.0,112606_103,,112606.0,1126061218.0,no,no,,no,no,1126061253.0,1126061201.0,1126061240.0,1126061201.0,1126061253.0,1126061240.0
1126071.0,112607_110,,112607.0,1126071240.0,no,no,,no,no,1126071201.0,1126071206.0,1126071245.0,1126071201.0,1126071202.0,1126071245.0
1126072.0,112607_149,2.0,,1126072.0,no,no,12.0,no,no,,,,,,
1126091.0,112609_140,7.0,,1126091.0,no,no,21.0,yes,yes,,,,,,
1126101.0,112610_142,3.0,,1126101.0,yes,no,19.0,yes,no,,,,,,
1126111.0,112611_107,6.0,112611.0,1126111205.0,yes,yes,20.0,yes,yes,1126111217.0,1126111212.0,1126111226.0,1126111212.0,1126111226.0,1126111249.0
1126161.0,112616_155,5.0,112616.0,1126161210.0,no,no,14.0,no,no,1126161204.0,1126161211.0,1126161202.0,1126161204.0,1126161211.0,1126161222.0
1126162.0,112616_604,,,1126162.0,no,no,,no,no,,,,,,
