fs_classroom,fs_school_id,fl,fs_student_id,emot_1,emot_2,emot_3,academic_1,academic_2,academic_3
1125511,112551,1,1125511225,1125511224,1125511221,1125511259,1125511255,1125511261,1125511224
1125571,112557,1,1125571214,1125571218,1125571217,,1125571217,1125571215,1125571218
1125821,112582,1,1125821301,1125821302,1125821300,1125821325,1125821321,1125821306,1125821308
1125971,112597,1,1125971203,1125971227,1125971229,1125971238,1125971229,1125971205,1125971220
1126111,112611,1,1126111205,1126111217,1126111212,1126111226,1126111212,1126111226,1126111249
1126203,112620,1,1126203203,1126203206,1126203205,1126203219,1126203211,1126203216,
1126241,112624,1,1126241267,1126241252,1126241230,,1126241269,1126241252,1126241212
1126631,112663,1,1126631211,,,,1126631209,,
1126662,112666,1,1126662205,1126662227,1126662240,1126662234,1126662240,1126662216,1126662236
1126701,112670,1,1126701226,1126701244,1126701237,1126701239,1126701244,1126701237,1126701239
1126714,112671,1,1126714237,1126714284,1126714272,1126714221,1126714272,1126714284,1126714274
1126801,112680,1,1126801215,1126801223,1126801230,1126801225,1126801223,1126801225,1126801230
1126951,112695,1,1126951210,1126951250,1126951264,1126951244,1126951250,1126951264,1126951243
1127231,112723,1,1127231255,1127231262,1127231254,1127231268,1127231254,1127231268,1127231262
1127233,112723,1,1127233223,1127233259,1127233281,1127233260,1127233244,1127233215,1127233222
1127293,112729,1,1127293254,1127293223,1127293238,1127293221,1127293223,1127293221,1127293238
1127311,112731,1,1127311227,1127311217,1127311223,1127311225,1127311217,1127311223,1127311225
1127312,112731,1,1127312268,1127312252,1127312254,1127312270,1127312271,1127312254,1127312247
1127353,112735,1,1127353234,1127353228,1127353223,1127353214,1127353241,,
1127391,112739,1,1127391237,1127391212,1127391209,1127391231,1127391215,1127391231,1127391244
1127392,112739,1,1127392238,1127392203,1127392247,1127392234,1127392203,,
1127643,112764,1,1127643230,1127643238,1127643237,1127643244,1127643238,1127643244,1127643237
1127731,112773,1,1127731252,1127731254,1127731266,1127731205,1127731266,1127731258,1127731205
1127791,112779,1,1127791262,1127791250,1127791230,1127791241,1127791271,1127791250,1127791236
1127841,112784,1,1127841271,1127841259,1127841269,,1127841259,1127841269,
1127921,112792,1,1127921238,1127921226,1127921221,,1127921235,1127921237,1127921221
1128191,112819,1,1128191216,1128191218,1128191244,1128191234,1128191218,1128191234,1128191208
1128301,112830,1,1128301208,1128301241,1128301283,1128301209,1128301283,1128301282,
1128351,112835,1,1128351201,1128351202,1128351212,1128351203,1128351221,1128351227,1128351203
1128352,112835,1,1128352234,1128352206,1128352265,1128352218,1128352218,,
1128391,112839,1,1128391238,1128391206,1128391210,1128391235,1128391235,1128391210,1128391206
1128392,112839,1,1128392223,1128392205,1128392219,1128392241,1128392205,1128392224,1128392241
1128431,112843,1,1128431242,1128431243,1128431262,1128431225,1128431243,1128431262,1128431225
1128581,112858,1,1128581250,1128581238,1128581221,1128581202,1128581222,1128581249,1128581238
1128584,112858,1,1128584207,1128584225,1128584230,1128584224,1128584239,1128584211,1128584222
1341191,134119,1,1341191233,,,,1341191219,1341191203,1341191253
1370211,137021,1,1370211245,1370211244,1370211243,1370211220,1370211220,1370211243,1370211234
