fs_classroom,fs_school_id,fl,fs_student_id,emot_1,emot_2,emot_3,academic_1,academic_2,academic_3
1125431,112543,1,1125431248,1125431256,1125431205,1125431232,1125431232,1125431229,1125431256
1125432,112543,1,1125432250,1125432234,1125432242,,1125432242,1125432234,
1125441,112544,1,1125441239,1125441244,1125441212,1125441261,1125441229,1125441244,1125441212
1125452,112545,1,1125452242,1125452206,1125452219,1125452251,1125452207,1125452255,1125452228
1125492,112549,1,1125492236,1125492243,1125492234,1125492233,1125492218,1125492216,1125492214
1125611,112561,1,1125611209,1125611224,1125611208,1125611210,1125611223,1125611217,1125611211
1125791,112579,1,1125791220,1125791225,1125791216,1125791215,1125791218,1125791225,1125791216
1125881,112588,1,1125881210,1125881255,1125881257,1125881206,1125881268,1125881267,1125881256
1125882,112588,1,1125882212,1125882208,1125882213,1125882207,1125882204,1125882201,1125882208
1125892,112589,1,1125892210,1125892224,1125892212,1125892223,1125892213,1125892217,1125892223
1125911,112591,1,1125911205,1125911202,1125911225,1125911233,1125911241,1125911233,1125911225
1125951,112595,1,1125951266,1125951230,1125951264,1125951237,1125951230,1125951264,1125951279
1125991,112599,1,1125991208,1125991222,1125991237,1125991212,1125991235,1125991222,
1126061,112606,1,1126061218,1126061253,1126061201,1126061240,1126061201,1126061253,1126061240
1126071,112607,1,1126071240,1126071201,1126071206,1126071245,1126071201,1126071202,1126071245
1126161,112616,1,1126161210,1126161204,1126161211,1126161202,1126161204,1126161211,1126161222
1126201,112620,1,1126201209,1126201236,1126201223,1126201221,1126201236,1126201203,1126201211
1126202,112620,1,1126202226,1126202216,1126202223,1126202207,1126202218,1126202230,1126202216
1126211,112621,1,1126211229,1126211216,1126211227,,1126211214,1126211216,
1126221,112622,1,1126221232,1126221238,1126221203,1126221228,1126221225,1126221216,
1126231,112623,1,1126231233,1126231224,1126231216,1126231220,1126231256,1126231236,1126231254
1126611,112661,1,1126611211,1126611223,1126611234,1126611218,1126611223,1126611231,1126611218
1126621,112662,1,1126621249,1126621203,1126621204,1126621225,1126621203,1126621245,1126621236
1126632,112663,1,1126632237,1126632277,1126632257,,1126632253,1126632277,1126632276
1126661,112666,1,1126661253,1126661273,1126661271,1126661249,1126661273,1126661271,1126661249
1126663,112666,1,1126663230,1126663240,1126663236,1126663263,1126663240,1126663236,1126663246
1126664,112666,1,1126664262,1126664226,1126664215,1126664235,1126664224,1126664259,1126664225
1126671,112667,1,1126671280,1126671233,,,1126671233,1126671255,1126671277
1126711,112671,1,1126711278,1126711302,1126711286,1126711292,1126711258,1126711269,1126711221
1126713,112671,1,1126713299,1126713254,1126713305,1126713235,1126713254,1126713305,1126713235
1126721,112672,1,1126721208,1126721207,1126721220,1126721240,1126721220,1126721240,1126721254
1126722,112672,1,1126722205,1126722204,1126722220,1126722231,1126722201,1126722204,1126722220
1126751,112675,1,1126751287,1126751226,1126751234,1126751309,1126751309,1126751234,
1126752,112675,1,1126752242,1126752244,1126752213,1126752239,1126752239,1126752213,1126752244
1126753,112675,1,1126753259,1126753254,1126753202,,1126753202,1126753254,
1126771,112677,1,1126771234,1126771238,1126771226,1126771205,1126771213,1126771220,1126771230
1126821,112682,1,1126821310,1126821262,1126821302,1126821292,1126821202,1126821279,1126821230
1126841,112684,1,1126841221,1126841220,1126841249,1126841211,1126841249,1126841220,1126841211
1126852,112685,1,1126852274,1126852266,1126852272,1126852216,1126852266,1126852272,1126852246
1127221,112722,1,1127221231,1127221248,1127221250,1127221251,1127221248,1127221250,1127221251
1127232,112723,1,1127232242,1127232226,1127232235,1127232279,1127232227,1127232274,1127232216
1127234,112723,1,1127234276,1127234275,1127234263,1127234251,1127234240,1127234229,1127234275
1127261,112726,1,1127261214,1127261289,1127261295,1127261263,1127261207,1127261243,1127261267
1127303,112730,1,1127303225,1127303224,1127303231,1127303233,1127303229,1127303222,
1127322,112732,1,1127322231,1127322239,1127322212,1127322207,1127322212,1127322239,1127322216
1127341,112734,1,1127341217,1127341229,1127341231,1127341269,1127341229,1127341231,1127341269
1127361,112736,1,1127361209,1127361220,1127361213,1127361210,1127361207,1127361205,1127361202
1127602,112760,1,1127602232,1127602230,1127602222,1127602220,1127602230,1127602222,1127602220
1127642,112764,1,1127642247,1127642222,1127642205,1127642226,1127642205,1127642222,1127642217
1127722,112772,1,1127722236,1127722235,1127722228,1127722270,1127722254,1127722258,1127722257
1127762,112776,1,1127762231,1127762221,1127762232,1127762285,1127762285,1127762232,1127762221
1127771,112777,1,1127771231,1127771228,1127771247,1127771241,1127771245,1127771251,1127771241
1127811,112781,1,1127811262,1127811282,1127811284,1127811242,1127811282,1127811242,1127811290
1127851,112785,1,1127851218,1127851263,1127851261,1127851223,1127851223,1127851262,
1127861,112786,1,1127861204,1127861213,1127861242,1127861224,1127861213,1127861242,1127861224
1127863,112786,1,1127863231,1127863204,1127863216,1127863252,1127863204,1127863216,1127863252
1127871,112787,1,1127871222,1127871234,1127871217,1127871212,1127871223,1127871212,
1127892,112789,1,1127892238,1127892216,1127892204,1127892202,1127892235,1127892248,1127892239
1127902,112790,1,1127902253,1127902275,1127902268,1127902221,1127902206,1127902267,1127902205
1127911,112791,1,1127911266,1127911224,1127911288,1127911297,1127911224,1127911237,1127911249
1127931,112793,1,1127931210,1127931236,1127931201,1127931224,1127931236,1127931225,1127931201
1127941,112794,1,1127941232,,,,1127941256,,
1127951,112795,1,1127951238,1127951235,1127951250,1127951217,1127951235,1127951250,1127951217
1127952,112795,1,1127952224,1127952211,1127952239,1127952225,1127952239,1127952225,1127952243
1127971,112797,1,1127971218,1127971214,1127971220,,1127971220,1127971211,1127971203
1127982,112798,1,1127982243,1127982213,1127982223,1127982224,1127982213,1127982214,
1128192,112819,1,1128192221,1128192228,1128192222,1128192225,1128192225,1128192228,1128192209
1128201,112820,1,1128201229,1128201201,1128201203,1128201217,1128201206,1128201221,1128201223
1128261,112826,1,1128261206,1128261258,,,1128261258,1128261266,
1128321,112832,1,1128321220,1128321221,1128321211,1128321226,1128321221,1128321224,1128321226
1128371,112837,1,1128371233,1128371212,1128371211,,1128371212,1128371206,
1128411,112841,1,1128411208,,,,1128411228,1128411220,1128411204
1128412,112841,1,1128412234,1128412227,1128412203,1128412231,1128412203,1128412231,
1128421,112842,1,1128421218,1128421213,1128421245,1128421237,1128421213,1128421237,
1128441,112844,1,1128441210,1128441218,1128441226,1128441203,1128441202,1128441212,1128441229
1128481,112848,1,1128481254,1128481248,1128481250,,1128481227,1128481225,1128481229
1128491,112849,1,1128491221,1128491220,1128491214,,1128491220,1128491214,
1128531,112853,1,1128531206,1128531207,1128531215,,1128531207,1128531215,
1128541,112854,1,1128541211,1128541213,1128541252,1128541251,1128541250,1128541213,1128541252
1128551,112855,1,1128551225,1128551212,1128551219,1128551500,1128551204,1128551208,1128551213
1128841,112884,1,1128841251,1128841222,1128841237,,1128841205,1128841222,1128841237
1346301,134630,1,1346301221,1346301224,1346301241,1346301222,1346301241,1346301246,1346301245
1125381,112538,1,1125381221,1125381222,1125381226,1125381227,1125381201,1125381207,1125381218
1125381,112538,1,1125381205,1125381203,1125381220,1125381217,1125381203,1125381208,1125381211
1125381,112538,1,1125381220,1125381236,1125381228,1125381212,1125381233,1125381203,1125381217
1125381,112538,1,1125381225,1125381241,1125381234,1125381240,1125381201,1125381202,1125381207
1125381,112538,1,1125381215,1125381220,1125381239,1125381232,1125381203,1125381220,1125381239
1125381,112538,1,1125381218,1125381213,1125381207,1125381201,1125381201,1125381202,1125381204
1125381,112538,1,1125381222,1125381227,1125381226,1125381221,1125381201,1125381204,1125381202
1125381,112538,1,1125381203,1125381205,1125381220,1125381212,1125381205,1125381210,1125381211
1125381,112538,1,1125381229,1125381205,1125381217,1125381202,1125381202,1125381205,1125381203
1125382,112538,1,1125382216,1125382212,1125382206,1125382211,1125382201,1125382207,1125382203
1125382,112538,1,1125382217,1125382201,1125382209,1125382221,1125382201,1125382207,1125382203
1125382,112538,1,1125382213,1125382218,1125382212,1125382216,1125382218,1125382206,1125382212
1125382,112538,1,1125382208,1125382204,1125382202,1125382210,1125382202,1125382204,1125382210
1125382,112538,1,1125382212,1125382206,1125382211,1125382216,1125382207,1125382211,1125382206
1125382,112538,1,1125382211,1125382201,1125382206,1125382207,1125382201,1125382203,1125382207
1125382,112538,1,1125382221,1125382209,1125382225,1125382203,1125382209,1125382211,1125382206
1125391,112539,1,1125391218,1125391201,1125391202,1125391217,1125391201,1125391202,1125391217
1125391,112539,1,1125391223,1125391231,1125391207,1125391201,1125391205,1125391207,1125391266
1125391,112539,1,1125391240,1125391219,1125391239,1125391211,1125391201,1125391202,1125391203
1125391,112539,1,1125391235,1125391214,1125391211,1125391220,1125391206,1125391214,1125391220
1125391,112539,1,1125391253,1125391231,1125391223,,1125391201,1125391203,1125391204
1125391,112539,1,1125391213,1125391201,1125391228,1125391231,1125391203,1125391212,1125391219
1125391,112539,1,1125391239,1125391240,1125391219,1125391227,1125391240,1125391219,1125391227
1125391,112539,1,1125391261,1125391221,1125391230,,1125391219,1125391230,
1125391,112539,1,1125391244,1125391216,1125391238,1125391248,1125391216,1125391241,1125391248
1125391,112539,1,1125391251,1125391247,1125391252,,1125391201,1125391202,1125391203
