fs_classroom,low_array,high_array,mu
1191.0,"[0, 1, 18]","[0, 3, 3]",0.27482649520310265
2211.0,"[0, 1, 10]","[2, 0, 8]",0.3979582577132486
3181.0,"[0, 1, 16]","[0, 3, 14]",0.4047619047619047
3991.0,"[5, 3, 28]","[1, 0, 19]",0.36326665346273196
4591.0,"[2, 1, 11]","[2, 2, 1]",0.25021312872975277
5381.0,"[0, 0, 9]","[0, 0, 8]",0.4200980392156863
5382.0,"[0, 0, 7]","[0, 1, 8]",0.406484295845998
5391.0,"[0, 5, 28]","[0, 0, 11]",0.2963873701833782
5401.0,"[0, 2, 13]","[1, 3, 30]",0.3391717325227963
5402.0,"[0, 2, 17]","[0, 1, 22]",0.40611739044219713
5403.0,"[2, 0, 10]","[0, 0, 23]",0.36167734420500874
5431.0,"[1, 1, 23]","[2, 2, 10]",0.3602615773668405
5432.0,"[0, 4, 5]","[0, 0, 2]",0.17471264367816092
5441.0,"[0, 2, 19]","[0, 1, 5]",0.2644970414201184
5451.0,"[5, 9, 27]","[1, 2, 10]",0.2685468461225214
5452.0,"[0, 3, 31]","[0, 3, 11]",0.32825215514351985
5481.0,"[0, 0, 16]","[0, 0, 6]",0.31962481962481964
5482.0,"[0, 0, 1]","[0, 0, 0]",
5491.0,"[0, 0, 20]","[0, 0, 12]",0.3903225806451613
5492.0,"[1, 1, 18]","[0, 0, 14]",0.3981864095500459
5511.0,"[0, 1, 28]","[0, 0, 7]",0.24591219665436267
5551.0,"[0, 3, 12]","[0, 1, 4]",0.2788220551378446
5571.0,"[0, 3, 19]","[2, 2, 4]",0.28331204767986373
5581.0,"[1, 8, 27]","[0, 1, 4]",0.14908997252747253
5601.0,"[1, 2, 11]","[0, 0, 5]",0.2967073621901591
5611.0,"[0, 1, 11]","[0, 1, 9]",0.40528273809523807
5791.0,"[0, 1, 7]","[0, 0, 0]",
5821.0,"[1, 4, 23]","[2, 4, 19]",0.3889374317366204
5822.0,"[0, 0, 5]","[0, 0, 3]",0.38690476190476186
5841.0,"[2, 0, 27]","[4, 3, 22]",0.39584022950457903
5851.0,"[0, 1, 17]","[0, 1, 24]",0.40133245539429524
5881.0,"[1, 0, 16]","[0, 0, 9]",0.37157894736842106
5882.0,"[0, 0, 3]","[0, 0, 0]",
5891.0,"[1, 2, 26]","[0, 0, 8]",0.26635514018691586
5892.0,"[0, 0, 5]","[0, 0, 1]",0.07777777777777778
5911.0,"[1, 0, 16]","[0, 0, 5]",0.27321428571428574
5941.0,"[2, 0, 10]","[0, 0, 10]",0.40476190476190477
5951.0,"[0, 2, 27]","[0, 0, 22]",0.40548722800378434
5952.0,"[0, 1, 25]","[0, 3, 12]",0.3750323206205559
5971.0,"[0, 2, 15]","[0, 0, 8]",0.3501091919793528
5991.0,"[1, 0, 15]","[0, 0, 6]",0.3169642857142857
6041.0,"[0, 0, 11]","[0, 1, 2]",0.23921200750469046
6061.0,"[1, 3, 27]","[0, 2, 9]",0.3034433285509326
6071.0,"[2, 5, 19]","[1, 1, 8]",0.3005252100840336
6081.0,"[0, 2, 24]","[0, 2, 13]",0.37521008403361344
6091.0,"[2, 0, 19]","[0, 0, 2]",0.08911088911088912
6101.0,"[2, 3, 16]","[0, 0, 3]",0.14326543022195198
6111.0,"[0, 1, 22]","[0, 1, 15]",0.3982868451976003
6141.0,"[1, 1, 23]","[0, 4, 9]",0.35589795402879515
6161.0,"[1, 2, 15]","[1, 1, 6]",0.3246478873239436
6201.0,"[2, 3, 14]","[0, 0, 6]",0.2763480392156863
6202.0,"[3, 1, 12]","[0, 0, 0]",
6203.0,"[0, 1, 0]","[0, 0, 1]",0.0
6211.0,"[2, 3, 9]","[0, 0, 5]",0.28810457516339866
6221.0,"[0, 5, 21]","[0, 2, 4]",0.22218194998187749
6231.0,"[1, 6, 21]","[1, 4, 18]",0.3833622081926296
6241.0,"[4, 0, 25]","[0, 2, 4]",0.21165212496481844
6301.0,"[0, 0, 18]","[0, 0, 3]",0.1694235588972431
6611.0,"[0, 0, 15]","[0, 0, 18]",0.4154447702834799
6621.0,"[0, 3, 19]","[0, 0, 10]",0.3448491155046826
6631.0,"[1, 2, 11]","[0, 5, 9]",0.3807407407407407
6632.0,"[0, 1, 1]","[0, 0, 0]",
6651.0,"[2, 2, 17]","[1, 0, 5]",0.2535300316122234
6661.0,"[0, 0, 33]","[0, 0, 7]",0.22684435447593343
6662.0,"[0, 0, 31]","[0, 0, 5]",0.1797230003112356
6663.0,"[0, 10, 27]","[1, 3, 8]",0.27225714592735867
6664.0,"[1, 13, 15]","[1, 2, 6]",0.24580369843527738
6671.0,"[6, 10, 28]","[5, 3, 12]",0.3032049337781822
