fs_classroom,fs_student_id,s_merge_id,low_low_acad_math,low_low_emot_math,high_high_acad_math,high_high_emot_math,low_low_acad_math_b,low_low_emot_math_b,high_high_acad_math_b,high_high_emot_math_b,low_low_acad_math_perc,low_low_emot_math_perc,high_high_acad_math_perc,high_high_emot_math_perc
1191.0,1191201.0,134119_150,0,0,2,2,0,0,1,1,,,1.0,1.0
1191.0,1191202.0,134119_114,0,0,0,0,0,0,0,0,,,0.0,0.0
1191.0,1191204.0,134119_138,0,0,0,0,0,0,0,0,0.0,0.0,,
1191.0,1191205.0,134119_188,1,1,0,0,1,1,0,0,1.0,1.0,,
1191.0,1191207.0,134119_102,2,2,0,0,1,1,0,0,0.6666666666666666,0.6666666666666666,,
1191.0,1191208.0,134119_129,0,0,0,0,0,0,0,0,0.0,,,
1191.0,1191210.0,134119_122,1,1,0,0,1,1,0,0,1.0,1.0,,
1191.0,1191211.0,134119_135,0,2,0,0,0,1,0,0,,1.0,,
1191.0,1191212.0,134119_127,0,0,1,1,0,0,1,1,,,0.5,1.0
1191.0,1191213.0,134119_167,0,0,0,0,0,0,0,0,,,,
1191.0,1191216.0,134119_172,0,0,2,2,0,0,1,1,,,0.6666666666666666,0.6666666666666666
1191.0,1191218.0,134119_105,1,0,0,0,1,0,0,0,1.0,,,
1191.0,1191219.0,134119_161,0,0,2,2,0,0,1,1,,,0.6666666666666666,1.0
1191.0,1191221.0,134119_158,2,2,0,0,1,1,0,0,1.0,1.0,,
1191.0,1191228.0,134119_116,1,2,0,0,1,1,0,0,0.3333333333333333,1.0,,
1191.0,1191229.0,134119_139,1,0,0,0,1,0,0,0,1.0,0.0,,
1191.0,1191230.0,134119_602,2,0,0,0,1,0,0,0,1.0,,,
1191.0,1191233.0,134119_101,0,0,1,0,0,0,1,0,,,1.0,
1191.0,1191234.0,134119_123,1,1,0,0,1,1,0,0,0.5,0.5,,
1191.0,1191236.0,134119_148,2,1,0,0,1,1,0,0,1.0,0.5,,
1191.0,1191239.0,134119_147,0,0,0,0,0,0,0,0,,,,
1191.0,1191240.0,134119_160,3,3,0,0,1,1,0,0,1.0,1.0,,
1191.0,1191241.0,134119_128,0,0,2,0,0,0,1,0,,,0.6666666666666666,0.0
1191.0,1191242.0,134119_149,2,3,0,0,1,1,0,0,0.6666666666666666,1.0,,
1191.0,1191245.0,134119_117,0,1,0,0,0,1,0,0,,1.0,,
1191.0,1191249.0,134119_168,1,0,0,0,1,0,0,0,0.5,0.0,,
1191.0,1191252.0,134119_124,2,2,0,0,1,1,0,0,0.6666666666666666,0.6666666666666666,,
1191.0,1191254.0,134119_144,0,1,0,0,0,1,0,0,,1.0,,
2211.0,2211210.0,137021_139,0,0,2,3,0,0,1,1,,,1.0,1.0
2211.0,2211212.0,137021_111,2,2,0,0,1,1,0,0,1.0,1.0,,
