s_merge_id,fs_student_id,fs_classroom,high_eyes,high_raven,high_bangla,high_math,emot_1,emot_2,emot_3,academic_1,academic_2,academic_3,isolated_emot_in,isolated_academic_in,isolated_emot_out,isolated_academic_out
134119_150,1191201.0,1191.0,no,no,yes,yes,1191219.0,1191216.0,,1191216.0,1191219.0,1191203.0,0,0,0,0
134119_114,1191202.0,1191.0,no,yes,yes,yes,1191230.0,1191214.0,1191239.0,1191222.0,1191211.0,1191228.0,1,1,0,0
134119_138,1191204.0,1191.0,no,no,no,no,1191222.0,1191216.0,1191219.0,1191219.0,1191201.0,1191216.0,0,0,0,0
134119_188,1191205.0,1191.0,no,yes,no,no,1191243.0,1191256.0,1191204.0,1191256.0,1191243.0,1191204.0,0,0,0,0
134119_102,1191207.0,1191.0,yes,no,no,no,1191216.0,1191240.0,1191252.0,1191216.0,1191240.0,1191252.0,0,0,0,0
134119_129,1191208.0,1191.0,no,no,no,no,,,,1191201.0,1191212.0,1191217.0,1,0,1,0
134119_122,1191210.0,1191.0,yes,no,no,no,1191214.0,1191205.0,1191243.0,1191205.0,1191243.0,1191214.0,1,1,0,0
134119_135,1191211.0,1191.0,no,yes,no,no,1191240.0,1191254.0,1191259.0,,,,1,0,0,1
134119_127,1191212.0,1191.0,yes,no,yes,yes,1191201.0,1191203.0,,1191219.0,1191204.0,1191256.0,0,0,0,0
134119_167,1191213.0,1191.0,no,no,yes,yes,,,,,,,0,1,1,1
134119_172,1191216.0,1191.0,no,yes,yes,yes,1191201.0,1191207.0,1191219.0,1191201.0,1191207.0,1191219.0,0,0,0,0
134119_105,1191218.0,1191.0,no,no,no,no,1191253.0,1191226.0,1191203.0,1191204.0,1191222.0,1191256.0,0,0,0,0
134119_161,1191219.0,1191.0,yes,yes,yes,yes,1191216.0,1191201.0,,1191216.0,1191201.0,1191204.0,0,0,0,0
134119_158,1191221.0,1191.0,yes,no,no,no,1191218.0,1191228.0,1191206.0,1191256.0,1191218.0,1191228.0,0,0,0,0
134119_116,1191228.0,1191.0,yes,no,no,no,1191221.0,1191205.0,1191256.0,1191219.0,1191221.0,1191233.0,0,0,0,0
134119_139,1191229.0,1191.0,no,no,no,no,1191212.0,1191213.0,1191215.0,1191242.0,1191243.0,1191244.0,1,1,0,0
134119_602,1191230.0,1191.0,no,no,no,no,1191215.0,1191217.0,1191224.0,1191205.0,1191206.0,1191208.0,0,0,0,0
134119_101,1191233.0,1191.0,yes,yes,no,yes,,,,1191219.0,1191203.0,1191253.0,1,0,1,0
134119_123,1191234.0,1191.0,no,no,no,no,1191226.0,1191240.0,1191212.0,1191226.0,1191240.0,1191212.0,1,1,0,0
134119_148,1191236.0,1191.0,no,no,no,no,1191220.0,1191241.0,1191252.0,1191252.0,1191220.0,1191240.0,0,0,0,0
134119_147,1191239.0,1191.0,yes,no,no,no,1191227.0,1191235.0,,1191238.0,,,0,1,0,0
134119_160,1191240.0,1191.0,yes,no,no,no,1191230.0,1191207.0,1191236.0,1191230.0,1191207.0,1191236.0,0,0,0,0
134119_128,1191241.0,1191.0,no,no,no,yes,1191251.0,1191236.0,1191220.0,1191236.0,1191201.0,1191233.0,0,1,0,0
134119_149,1191242.0,1191.0,no,no,no,no,1191240.0,1191207.0,1191236.0,1191216.0,1191240.0,1191207.0,1,0,0,0
134119_117,1191245.0,1191.0,no,yes,no,no,1191252.0,1191220.0,1191225.0,,,,0,1,0,1
134119_168,1191249.0,1191.0,no,no,no,no,1191203.0,1191201.0,1191212.0,1191233.0,1191218.0,,1,1,0,0
134119_124,1191252.0,1191.0,no,no,no,no,1191207.0,1191216.0,1191240.0,1191240.0,1191207.0,1191216.0,0,0,0,0
134119_144,1191254.0,1191.0,no,yes,yes,no,1191245.0,1191231.0,1191256.0,1191220.0,1191226.0,1191227.0,0,1,0,0
137021_139,2211210.0,2211.0,yes,yes,no,yes,2211225.0,2211216.0,2211245.0,2211245.0,2211242.0,2211225.0,0,1,0,0
137021_111,2211212.0,2211.0,no,no,no,no,2211221.0,2211238.0,,2211229.0,2211219.0,2211221.0,1,0,0,0
137021_148,2211215.0,2211.0,no,yes,no,no,,,,2211225.0,2211220.0,,0,0,1,0
137021_135,2211216.0,2211.0,no,yes,no,yes,2211210.0,,,2211245.0,,,0,1,0,0
137021_149,2211219.0,2211.0,yes,yes,yes,no,2211214.0,2211211.0,2211255.0,2211256.0,2211255.0,2211214.0,1,0,0,0
137021_106,2211220.0,2211.0,no,yes,yes,yes,2211215.0,2211245.0,2211248.0,2211245.0,,,0,0,0,0
137021_134,2211221.0,2211.0,yes,no,no,no,2211227.0,2211230.0,2211238.0,2211246.0,2211219.0,2211217.0,0,0,0,0
137021_126,2211224.0,2211.0,yes,no,yes,yes,2211245.0,,,2211245.0,2211234.0,2211243.0,1,1,0,0
137021_117,2211225.0,2211.0,yes,yes,yes,yes,2211220.0,2211215.0,2211210.0,2211220.0,2211245.0,,0,0,0,0
137021_113,2211226.0,2211.0,no,no,no,no,,,,,,,0,1,1,1
137021_123,2211227.0,2211.0,no,no,no,no,2211225.0,2211230.0,2211256.0,2211256.0,2211251.0,,0,1,0,0
137021_615,2211230.0,2211.0,no,no,no,no,2211241.0,2211246.0,2211221.0,2211246.0,2211241.0,2211256.0,0,0,0,0
137021_141,2211234.0,2211.0,yes,yes,yes,yes,2211249.0,2211243.0,2211245.0,2211243.0,2211245.0,2211249.0,0,0,0,0
137021_136,2211237.0,2211.0,no,no,no,no,2211254.0,2211221.0,2211226.0,2211241.0,2211254.0,2211256.0,0,1,0,0
137021_147,2211238.0,2211.0,no,no,no,no,2211256.0,2211235.0,2211255.0,2211256.0,2211212.0,2211219.0,0,0,0,0
137021_131,2211239.0,2211.0,yes,no,yes,yes,2211216.0,2211245.0,2211253.0,2211225.0,2211245.0,,1,1,0,0
137021_104,2211243.0,2211.0,no,no,no,yes,2211234.0,2211249.0,2211245.0,2211249.0,2211245.0,2211234.0,0,0,0,0
137021_151,2211244.0,2211.0,no,no,yes,yes,2211245.0,2211248.0,2211220.0,2211245.0,2211220.0,2211225.0,0,1,0,0
137021_152,2211245.0,2211.0,yes,yes,yes,yes,2211244.0,2211243.0,2211220.0,2211220.0,2211243.0,2211234.0,0,0,0,0
137021_127,2211248.0,2211.0,yes,no,no,no,,,,2211215.0,,,0,1,1,0
